rank_pos;word;rank_neg;count_pos;count_neg;join
195;able;227;2580;2771;1
156;absolutely;287;3591;1680;2
74;access;202;7263;3008;3
164;air;27;3310;12768;4
107;airport;280;5028;1797;5
289;almost;237;1333;2554;6
151;although;103;3759;5871;7
77;always;182;7187;3316;8
287;another;112;1344;5584;9
255;anything;137;1649;4749;10
27;area;32;18174;12028;11
68;around;69;8069;7721;12
129;arrival;156;4242;4166;13
169;arrived;114;3208;5528;14
277;ask;129;1434;5056;15
206;asked;41;2388;10299;16
150;available;93;3761;6210;17
69;away;132;7662;4968;18
60;back;54;8730;9251;19
262;bad;45;1580;9913;20
250;bag;224;1713;2809;21
22;bar;14;22130;19419;22
159;bath;77;3521;7037;23
26;bathroom;7;18267;26967;24
11;bed;5;62553;35919;25
143;bedroom;110;3999;5665;26
49;best;216;10803;2911;27
132;better;34;4176;11641;28
42;big;136;11648;4795;29
223;book;242;2175;2517;30
167;booked;46;3283;9717;31
176;booking;36;2915;11372;32
210;bottle;205;2353;2980;33
6;breakfast;2;83174;57136;34
108;buffet;228;5014;2769;35
134;building;120;4146;5372;36
73;bus;292;7370;1615;37
202;business;251;2438;2315;38
220;busy;175;2220;3473;39
273;came;147;1481;4311;40
191;car;139;2589;4711;41
285;card;102;1347;5879;42
91;center;226;5980;2772;43
38;central;254;13252;2272;44
72;centre;215;7572;2913;45
259;charge;96;1607;6067;46
51;check;21;10535;14846;47
261;checked;178;1598;3441;48
298;child;264;1252;2127;49
64;choice;161;8219;4043;50
34;city;106;14819;5736;51
10;clean;65;64572;8148;52
296;cleaning;152;1257;4208;53
17;close;119;29970;5372;54
269;club;301;1525;1492;55
55;coffee;28;9426;12431;56
282;cold;50;1379;9539;57
157;come;162;3538;3989;58
13;comfortable;123;57906;5310;59
149;complimentary;276;3810;1865;60
141;concierge;296;4035;1553;61
275;conditioning;121;1448;5342;62
263;connection;266;1565;2050;63
268;cost;126;1531;5115;64
245;couple;217;1790;2887;65
182;customer;180;2784;3412;66
50;day;12;10556;19971;67
80;decor;250;6886;2315;68
53;definitely;257;9732;2237;69
95;desk;101;5664;5884;70
243;different;220;1859;2847;71
188;dinner;248;2616;2329;72
284;done;232;1348;2665;73
135;door;20;4123;14956;74
199;double;58;2477;8969;75
100;drink;78;5447;7019;76
146;early;116;3828;5438;77
35;easy;291;14382;1659;78
198;eat;240;2523;2535;79
274;egg;194;1449;3092;80
230;end;230;2050;2733;81
177;english;167;2905;3698;82
94;enough;71;5701;7466;83
294;entrance;263;1273;2149;84
89;especially;166;6214;3707;85
117;etc;157;4726;4091;86
301;euro;134;1241;4935;87
70;even;22;7653;14774;88
173;evening;154;3026;4197;89
144;ever;236;3934;2572;90
83;every;113;6780;5551;91
19;everything;56;26081;9225;92
12;excellent;255;60356;2264;93
241;executive;282;1892;1787;94
267;expected;146;1533;4345;95
219;expensive;18;2221;16008;96
116;experience;148;4775;4228;97
85;extra;72;6671;7393;98
47;extremely;143;10953;4443;99
28;facility;52;16728;9424;100
292;fact;209;1303;2947;101
161;family;259;3371;2197;102
154;far;68;3658;7808;103
238;fault;193;1916;3121;104
93;feel;141;5803;4506;105
178;felt;135;2897;4884;106
171;find;94;3126;6122;107
215;fine;206;2246;2979;108
126;first;55;4385;9241;109
84;floor;19;6753;15903;110
30;food;37;16120;11212;111
225;found;130;2093;4998;112
32;free;73;15334;7359;113
127;fresh;253;4312;2286;114
239;fridge;184;1916;3273;115
231;friend;286;2040;1721;116
7;friendly;145;82717;4417;117
75;front;92;7234;6220;118
216;full;153;2238;4205;119
175;gave;195;2990;3073;120
251;getting;221;1710;2829;121
281;give;211;1381;2934;122
205;given;105;2390;5842;123
295;glass;168;1261;3650;124
201;going;140;2457;4580;125
4;good;11;108271;20061;126
106;got;43;5090;9951;127
5;great;47;102774;9693;128
194;guest;66;2581;8027;129
207;gym;204;2378;2987;130
145;happy;272;3891;1911;131
104;help;181;5276;3329;132
8;helpful;150;73726;4219;133
123;high;124;4464;5203;134
160;hot;33;3388;11672;135
203;hour;79;2426;6918;136
244;house;299;1824;1524;137
247;however;87;1761;6510;138
