;count_pos;word;count_neg
0;2580;able;2771
1;3591;absolutely;1680
2;7263;access;3008
3;3310;air;12768
4;5028;airport;1797
5;1333;almost;2554
6;3759;although;5871
7;7187;always;3316
8;1344;another;5584
9;1649;anything;4749
10;18174;area;12028
11;8069;around;7721
12;4242;arrival;4166
13;3208;arrived;5528
14;1434;ask;5056
15;2388;asked;10299
16;3761;available;6210
17;7662;away;4968
18;8730;back;9251
19;1580;bad;9913
20;1713;bag;2809
21;22130;bar;19419
22;3521;bath;7037
23;18267;bathroom;26967
24;62553;bed;35919
25;3999;bedroom;5665
26;10803;best;2911
27;4176;better;11641
28;11648;big;4795
29;2175;book;2517
30;3283;booked;9717
31;2915;booking;11372
32;2353;bottle;2980
33;83174;breakfast;57136
34;5014;buffet;2769
35;4146;building;5372
36;7370;bus;1615
37;2438;business;2315
38;2220;busy;3473
39;1481;came;4311
40;2589;car;4711
41;1347;card;5879
42;5980;center;2772
43;13252;central;2272
44;7572;centre;2913
45;1607;charge;6067
46;10535;check;14846
47;1598;checked;3441
48;1252;child;2127
49;8219;choice;4043
50;14819;city;5736
51;64572;clean;8148
52;1257;cleaning;4208
53;29970;close;5372
54;1525;club;1492
55;9426;coffee;12431
56;1379;cold;9539
57;3538;come;3989
58;57906;comfortable;5310
59;3810;complimentary;1865
60;4035;concierge;1553
61;1448;conditioning;5342
62;1565;connection;2050
63;1531;cost;5115
64;1790;couple;2887
65;2784;customer;3412
66;10556;day;19971
67;6886;decor;2315
68;9732;definitely;2237
69;5664;desk;5884
70;1859;different;2847
71;2616;dinner;2329
72;1348;done;2665
73;4123;door;14956
74;2477;double;8969
75;5447;drink;7019
76;3828;early;5438
77;14382;easy;1659
78;2523;eat;2535
79;1449;egg;3092
80;2050;end;2733
81;2905;english;3698
82;5701;enough;7466
83;1273;entrance;2149
84;6214;especially;3707
85;4726;etc;4091
86;1241;euro;4935
87;7653;even;14774
88;3026;evening;4197
89;3934;ever;2572
90;6780;every;5551
91;26081;everything;9225
92;60356;excellent;2264
93;1892;executive;1787
94;1533;expected;4345
95;2221;expensive;16008
96;4775;experience;4228
97;6671;extra;7393
98;10953;extremely;4443
99;16728;facility;9424
100;1303;fact;2947
101;3371;family;2197
102;3658;far;7808
103;1916;fault;3121
104;5803;feel;4506
105;2897;felt;4884
106;3126;find;6122
107;2246;fine;2979
108;4385;first;9241
109;6753;floor;15903
110;16120;food;11212
111;2093;found;4998
112;15334;free;7359
113;4312;fresh;2286
114;1916;fridge;3273
115;2040;friend;1721
116;82717;friendly;4417
117;7234;front;6220
118;2238;full;4205
119;2990;gave;3073
120;1710;getting;2829
121;1381;give;2934
122;2390;given;5842
123;1261;glass;3650
124;2457;going;4580
125;108271;good;20061
126;5090;got;9951
127;102774;great;9693
128;2581;guest;8027
129;2378;gym;2987
130;3891;happy;1911
131;5276;help;3329
132;73726;helpful;4219
133;4464;high;5203
134;3388;hot;11672
135;2426;hour;6918
136;1824;house;1524
137;1761;however;6510
138;2543;included;5131
139;1283;inside;2606
140;1524;internet;3876
141;1430;issue;5447
142;1248;kept;3243
143;5565;kind;1817
144;1623;lady;2115
145;9390;large;2503
146;1750;last;2857
147;2584;late;4991
148;1495;leave;2935
149;2326;left;5598
150;1313;level;2297
151;2156;light;6531
152;6555;liked;3013
153;7232;little;21878
154;4472;lobby;3783
155;7617;located;1671
156;187809;location;10809
157;16233;london;5432
158;2074;long;6458
159;2599;look;4501
160;2029;looked;3304
161;2081;looking;2655
162;4158;lounge;2316
163;34135;lovely;2253
164;2230;luggage;3646
165;3004;machine;2809
166;8195;made;8556
167;4705;main;3244
168;4997;make;6477
169;1908;making;3490
170;1705;manager;2951
171;5962;many;4225
172;1751;meal;1983
173;1676;member;2740
174;15703;metro;2526
175;2188;mini;3197
176;13849;minute;6076
177;8114;money;7329
178;3370;morning;9938
179;12684;near;2971
180;4830;nearby;2033
181;6385;need;14649
182;4066;needed;4948
183;1633;never;6005
184;5462;new;3028
185;9489;next;9656
186;66950;nice;9528
187;11135;night;27284
188;2693;noise;12052
189;1974;offer;2925
190;2062;offered;3542
191;3825;old;10162
192;2056;open;8373
193;2761;option;4071
194;4609;outside;7587
195;5291;overall;2920
196;5480;paris;1845
197;6993;park;3061
198;5349;parking;8617
199;2236;part;2166
200;3811;people;9545
201;25077;perfect;3055
202;1338;phone;3162
203;4254;pillow;6328
204;14024;place;7080
205;1250;point;2511
206;8167;pool;7842
207;2282;pretty;2419
208;9243;price;17450
209;1254;priced;1548
210;2837;problem;8162
211;2860;provided;2917
212;4021;public;1565
213;6886;quality;4742
214;21207;quiet;2021
215;6782;quite;11621
216;1345;rate;2808
217;1872;ready;2997
218;1535;real;1524
219;15324;reception;16022
220;2365;receptionist;3572
221;8307;recommend;2187
222;1969;request;2826
223;25366;restaurant;12062
224;8618;right;3258
225;3220;road;3153
226;3316;roof;1747
227;175029;room;202833
228;2716;safe;1793
229;1599;say;4055
230;2205;second;3604
231;3122;see;4188
232;4040;selection;1876
233;1358;served;1907
234;26472;service;19876
235;1322;several;1863
236;4843;short;1918
237;12781;shower;21042
238;1784;side;5336
239;1562;single;5736
240;2325;site;2021
241;10045;size;6780
242;2687;sleep;6687
243;11309;small;48083
244;1490;soft;2424
245;4119;spa;3186
246;4087;space;6061
247;4103;special;1591
248;190150;staff;38347
249;4214;standard;5676
250;2715;star;9397
251;31322;station;4437
252;31237;stay;17007
253;8319;stayed;6860
254;3284;staying;3053
255;1944;still;6837
256;6009;stop;1769
257;8950;street;5943
258;4853;suite;2536
259;1960;sure;2861
260;1708;swimming;2161
261;3526;take;5681
262;2877;taxi;3456
263;5390;tea;9185
264;4867;thing;8538
265;1442;think;6241
266;3307;though;6725
267;1555;thought;3419
268;11667;time;22644
269;1612;took;5906
270;5520;top;3240
271;2565;towel;5391
272;9214;train;2513
273;6305;tram;1759
274;3688;trip;1880
275;11433;tube;1675
276;4493;two;10765
277;4178;upgrade;2690
